title,authors,original_price,current_price,quantity,catagory,n_review,avg_rating,pages,manufacturer,cover_link
Hiệu Sách Nhỏ Ở Paris,Nina George,149000,89400,5665.0,Tiểu Thuyết,1068,4.8,452,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/7c/0d/6c/8fcbd6abc1ac716d07b3593f9b97f53b.jpg
Tiếng Núi,Kawabata Yasunari,220000,132000,854.0,Tác phẩm kinh điển,79,4.8,384,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/06/b0/b9/7ab33a63c472dddb0310a528119118b9.jpg
Điều Kỳ Diệu Của Tiệm Tạp Hóa NAMIYA (Tái Bản),Higashino Keigo,105000,63000,25272.0,Truyện ngắn - Tản văn - Tạp Văn,3791,4.8,358,,https://salt.tikicdn.com/ts/product/dd/49/7f/ab94b8b2e35c49fc38b063fae4e8266a.jpg
Bắt Trẻ Đồng Xanh (Tái Bản 2020),Jerome David Salinger,88000,52800,6679.0,Tiểu Thuyết,1545,4.8,328,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/65/74/fb/1e6ca7a2fa28d83667a8e50144e43d0d.jpg
1111 - Nhật Ký Sáu Vạn Dặm Trên Yên Xe Cà Tàng,Trần Đặng Đăng Khoa,325000,262000,768.0,Du ký,58,5.0,,NXB Trẻ,https://salt.tikicdn.com/ts/product/16/99/f6/b1b3d72f9802de5ae8ae20d641fd1e63.jpg
Tâm Lý Học - Phác Họa Chân Dung Kẻ Phạm Tội,Diệp Hồng Vũ,145000,88900,16741.0,Sách tư duy - Kỹ năng sống,5540,4.8,280,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/cb/79/53/7cf60ac4e52cb3f61aa1b4986a0efee6.jpg
Phía Sau Nghi Can X (Tái Bản 2019),Higashino Keigo,109000,65400,16595.0,Truyện trinh thám,3213,4.8,396,,https://salt.tikicdn.com/ts/product/23/56/86/a538698ead7dc2f693d1e9778417317d.jpg
Nàng Tóc Đỏ (Nobel Văn Chương 2006),,120000,66000,708.0,Tác phẩm kinh điển,85,4.7,320,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/3d/3e/d8/bdc5a3edcd4ecd6bb91895ffb67cbe11.jpg
Đàn Ông Sao Hỏa Đàn Bà Sao Kim,John Gray,188000,135300,48419.0,Sách tư duy - Kỹ năng sống,3904,4.7,488,,https://salt.tikicdn.com/ts/product/0a/f6/38/bc10734989977da424642a1c4750eee2.jpg
Kiêu Hãnh Và Định Kiến (Tái Bản),Jane Austen,116000,69600,1932.0,Tiểu Thuyết,368,4.8,362,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/13/1a/c5/8de00e3c753d0d571b793caeab329d8d.jpg
Ikigai - Bí Mật Sống Trường Thọ Và Hạnh Phúc Của Người Nhật,Ken Mogi,90000,54000,5684.0,Sách tư duy - Kỹ năng sống,498,4.8,199,,https://salt.tikicdn.com/ts/product/0c/ae/23/74a7396a4c1bcf48ed016b92ab349b5a.jpg
Think And Grow Rich - Nghĩ Giàu Và Làm Giàu,Napoleon Hill,110000,72600,8825.0,Bài học kinh doanh,1448,4.8,450,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/2f/87/11/33e6b375996b5012307dcd3986e0b692.jpg
Nói Một Cách Đơn Giản,Rhee Dongwoo,129000,98000,628.0,Sách tư duy - Kỹ năng sống,73,5.0,264,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/f6/90/1a/7798d89cd8c6808df55571c8af40a286.jpg
Một Họa Sĩ Phù Thế,Kazuo Ishiguro,169000,101400,291.0,Tiểu Thuyết,21,5.0,299,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/1d/84/65/0914ab54b67cfc02cbe8e36e21ae1ff0.jpg
Bạch Dạ Hành (Tái Bản),Higashino Keigo,209000,125400,3528.0,Truyện trinh thám,918,4.8,628,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/80/67/af/753a66ef25086f469826f3ee4716f751.jpg
"Nói Chuyện Là Bản Năng, Giữ Miệng Là Tu Dưỡng, Im Lặng Là Trí Tuệ",Trương Tiếu Hằng,159000,111000,7744.0,Sách nghệ thuật sống đẹp,1242,4.8,450,Nhà Xuất Bản Thanh Niên,https://salt.tikicdn.com/ts/product/53/ec/b6/e67dfef8643496ef9abe6e5430b1a630.jpg
Không Ai Có Thể Làm Bạn Tổn Thương Trừ Khi Bạn Cho Phép (Tặng Kèm 1 Bộ Bookmark Gồm 4 Cái),Yoo Eun Jung,119000,76001,7994.0,Sách tư duy - Kỹ năng sống,1418,5.0,304,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/48/cf/b6/591dc6b51337aca15183552706b57087.jpg
Sáu Người Đi Khắp Thế Gian (Tập 2) ( Tái Bản 2019 ),James Albert Michener,150000,127500,18.0,Du ký,4,5.0,564,,https://salt.tikicdn.com/ts/product/5c/47/0d/3f1a1c7c6f6ab339b1acd2892ee7282e.jpg
Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),Nguyên Phong,436000,287700,5947.0,Combo 2 Cuốn: Muôn Kiếp Nhân Sinh + Muôn Kiếp Nhân Sinh 2 (Bìa Mềm),1207,4.8,960,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/05/e6/c8/f77f8c96a0c0389027846193e9b62ae5.jpg
Hoa Vẫn Nở Mỗi Ngày,,234000,140400,3892.0,Tiểu Thuyết,793,4.8,532,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/da/f6/2a/963d63c3dca69a9e40094b7765d4a70c.jpg
Tâm Lý Học Hành Vi (Tặng Kèm 1 Bookmark ),Khương Nguy,98000,63001,13123.0,Sách tư duy - Kỹ năng sống,2505,5.0,276,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/cd/72/24/a9f929f98397d1be047e47602989a5e0.jpg
Điềm Tĩnh Và Nóng Giận,Tạ Quốc Kế,96000,67001,6838.0,Sách tư duy - Kỹ năng sống,812,4.8,224,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/b4/51/cf/467cc6c113c3847a01516006180c20b2.jpg
Quyền Lực Của Địa Lý - The Power Of Geography,Tim Marshall,280000,168000,164.0,Sách kinh tế học,14,4.6,559,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/6c/87/e7/db72a8050a15d86d8102cd21ab1d8b11.jpg
Cân Bằng Cảm Xúc Cả Lúc Bão Giông (Tặng Kèm Bookmark)(Tái Bản),Richard Nicholls,105000,64100,3906.0,Sách tư duy - Kỹ năng sống,497,5.0,336,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/31/36/bb/3287d77a87926609cab4b41077c033ba.jpg
How Money Works - Hiểu Hết Về Tiền,Dịch giả Bùi Thị Quỳnh Chi,300000,180000,8546.0,Bài học kinh doanh,1291,4.7,257,,https://salt.tikicdn.com/ts/product/d9/00/9e/9ba4a6dbd6700f9c6abd30f1a65b93c4.jpg
Rèn Luyện Tư Duy Phản Biện,Albert Rutherford,99000,68000,25115.0,Sách tư duy - Kỹ năng sống,4341,4.8,204,Nhà Xuất Bản Phụ Nữ,https://salt.tikicdn.com/ts/product/22/cb/a9/524a27dcd45e8a13ae6eecb3dfacba7c.jpg
Một chỗ trong đời,Annie Ernaux,69000,51700,240.0,Tác phẩm kinh điển,13,5.0,98,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/17/ae/b5/0331341f5afd84a1845acd591572d710.jpg
Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,169000,101400,2895.0,Tiểu Thuyết,583,4.8,286,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/bc/82/ac/a6bf1a9e771d2741fbe89de5c121bad6.jpg
Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020),William Golding,88000,52800,3918.0,Tác phẩm kinh điển,744,4.8,326,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/5f/97/52/a53eb98af3927cc5b5aeb08efa58d483.jpg
Cuốn Sách Hoàn Hảo Về Ngôn Ngữ Cơ Thể - Body Language (Tái Bản),Allan & Barbara Pease,198000,159000,30490.0,Sách tư duy - Kỹ năng sống,1076,4.7,456,,https://salt.tikicdn.com/ts/product/6f/e9/0c/3008cc78076b1ac7240c55bc014580d7.jpg
GIẬN (TBL22),Thích Nhất Hạnh,135000,116000,1802.0,GIẬN (TBL22),145,5.0,248,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/56/4a/55/ded53bb350d07e82bf01a2b819a0e100.jpg
Tàn Ngày Để Lại (Bìa Cứng),Kazuo Ishiguro,169000,101400,2895.0,Tiểu Thuyết,583,4.8,286,Nhà Xuất Bản Văn Học,https://salt.tikicdn.com/ts/product/bc/82/ac/a6bf1a9e771d2741fbe89de5c121bad6.jpg
Thạch Sùng Trên Gác Mái,Trịnh Lịch Nhi,59000,50150,15.0,Truyện ngắn - Tản văn - Tạp Văn,3,5.0,98,,https://salt.tikicdn.com/media/catalog/product/t/h/thach-sung-con-tren-gac-mai-01.u53.d20170206.t174801.428508.jpg
Chia Rẽ - Tại Sao Chúng Ta Đang Sống Trong Thời Đại Của Những Bức Tường,Tim Marshall,200000,120000,1745.0,Truyện ngắn - Tản văn - Tạp Văn,272,4.8,396,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/ts/product/15/ce/8e/0d9f11fc37b0de189ba66f4f07359108.jpg
Kafka bên bờ biển (Tái Bản 2020),Haruki Murakami,158000,94800,4622.0,Tiểu Thuyết,986,4.8,530,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/63/99/70/ec162960adeabe3f2ce2f63fe4a2ebf7.jpeg
Power Vs Force - Trường Năng Lượng Và Những Nhân Tố Quyết Định Hành Vi Của Con Người (Tái Bản),David R.Hawkins,179000,125300,2792.0,Kiến Thức Bách Khoa,280,5.0,398,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/37/54/79/b699efce8c0f4029f424019f561ef327.png
"Càng Kỷ Luật, Càng Tự Do",Ca Tây,109000,74000,17018.0,Sách tư duy - Kỹ năng sống,3219,4.8,288,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/a3/57/75/7e17fd1bc79704272e6beba9968682c8.jpg
Chuyện Con Mèo Lập Kèo Cứu Sách,Natsukawa Sosuke,119000,71400,562.0,Truyện Giả tưởng - Huyền Bí - Phiêu Lưu,78,5.0,256,Nhà Xuất Bản Hà Nội,https://salt.tikicdn.com/ts/product/17/70/9a/5ad6bb124699c08b6ff8e2971f8b2493.jpg
Giải Thích Ngữ Pháp Tiếng Anh (Với Bài Tập Và Đáp Án) (Tái Bản),Mai Lan Hương,220000,151800,5616.0,Sách Học Tiếng Anh,1014,5.0,560,Nhà Xuất Bản Đà Nẵng,https://salt.tikicdn.com/ts/product/e1/04/31/7763d9035552760f627c34acfec0e12f.jpg
"Dear, Darling",Hiên,88000,61100,4735.0,Truyện ngắn - Tản văn - Tạp Văn,723,4.8,200,Nhà Xuất Bản Phụ Nữ Việt Nam,https://salt.tikicdn.com/ts/product/03/03/07/3fbe7cc39c9fe08b308274a03099c1c1.jpg
Thương Nhớ Mười Hai (Việt Nam Danh Tác) (Tái Bản),Vũ Bằng,99000,59400,1119.0,Truyện ngắn - Tản văn - Tạp Văn,173,5.0,344,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/92/f3/e0/83cda0f7600bd6e6644747c27ce6131d.jpg
Bộ sách Làm Giàu Từ Chứng Khoán (How To Make Money In Stock) phiên bản mới + Hướng Dẫn Thực Hành CANSLIM Cho Người Mới Bắt Đầu,William J. O’Neil,700000,700000,14656.0,"Sách tài chính, tiền tệ",2320,4.8,1044,Nhà Xuất Bản Thế Giới,https://salt.tikicdn.com/ts/product/16/02/ff/d8180a497eaf45bce49868b1af7be333.jpg
Gỗ Thần,Lưu Khánh Bang,79000,67150,4.0,Truyện trinh thám,3,5.0,164,,https://salt.tikicdn.com/ts/product/e7/61/3a/985d5ad2db9a3966a9013420954703d0.jpg
Tôi Nói Gì Khi Nói Về Chạy Bộ,Haruki Murakami,76000,76000,89.0,Truyện ngắn - Tản văn - Tạp Văn,15,5.0,235,Nhà Xuất Bản Hội Nhà Văn,https://salt.tikicdn.com/ts/product/38/ca/e6/d2ef5065043a253429e6587f7b1bea57.jpg
Sức Mạnh Tiềm Thức (Tái Bản),Joseph Murphyc,128000,84400,5034.0,Sách tư duy - Kỹ năng sống,710,5.0,336,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/45/26/55/58d50e8dcd42e6ee0296008d823bd9b7.jpg
Nghệ Thuật Tư Duy Rành Mạch (Tái Bản),Rolf Dobelli,118000,70800,9719.0,Sách tư duy - Kỹ năng sống,888,4.8,422,,https://salt.tikicdn.com/ts/product/ef/a6/94/70074b99dabd536696638bbf513401d4.jpg
Không Bao Giờ Là Thất Bại - Tất Cả Là Thử Thách (Ấn Bản Cập Nhật Đầy Đủ Nhất)(Bìa Cứng),Chung Ju Yung,268000,168800,6051.0,Bài học kinh doanh,490,5.0,512,Nhà Xuất Bản Dân Trí,https://salt.tikicdn.com/media/catalog/producttmp/b8/10/fd/0cef918a7aedb9ede38d46aeadc4bf2d.jpg
Mát Mát Lạnh Lạnh,Ngọc Bảo An,55000,43500,278.0,Truyện ngắn - Tản văn - Tạp Văn,13,4.7,126,,https://salt.tikicdn.com/media/catalog/product/m/a/mat mat lanh lanh.u547.d20160719.t104506.jpg
Bí Mật Của Naoko,Higashino Keigo,108000,64800,12680.0,Tiểu Thuyết,1293,4.7,468,,https://salt.tikicdn.com/media/catalog/product/u/n/unnamed--1-.u3059.d20170515.t104135.72047.jpg
Người Giỏi Không Phải Là Người Làm Tất Cả (Tái Bản),Donna M. Genett,58000,33000,1278.0,Sách kỹ năng làm việc,88,5.0,116,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/89/93/21/e82aabcdb76f43e2b80e00c6ac2e5717.jpg
Chiến Tranh Tiền Tệ - Tập 5,Song Hong Bing,195000,137000,182.0,"Sách quản trị, lãnh đạo",15,5.0,,Nhà Xuất Bản Lao Động,https://salt.tikicdn.com/ts/product/27/fb/94/9c38c917a164600a498184d3d73c47f5.jpg
Monster #8 - Tập 6,Naoya Matsumoto,58000,49200,1438.0,Monster #8 - Tập 6,132,5.0,188,Nhà Xuất Bản Hồng Đức,https://salt.tikicdn.com/ts/product/78/98/79/dbe0ea056cb4595fd6c56e1f3defa593.jpg
Thiên Môn Chi Thánh,Phương Bạch Vũ,100000,75000,497.0,Tiểu Thuyết,31,4.5,340,,https://salt.tikicdn.com/ts/product/5f/1b/40/567ded87612632ad92087ed52f42d587.jpg
Sức Mạnh Của Ngôn Từ (Tái Bản 2022),Don Gabor,108000,71200,837.0,Sách nghệ thuật sống đẹp,72,5.0,312,Nhà Xuất Bản Tổng hợp TP.HCM,https://salt.tikicdn.com/media/catalog/producttmp/f0/db/1c/98d137d24edbf7b6d5fedd365a4f4aa9.jpg
Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],Kaito,45000,45000,143.0,Blue Flag Tập 8 [Tặng Kèm Bookmark PVC],15,4.7,244,Nhà Xuất Bản Kim Đồng,https://salt.tikicdn.com/ts/product/c5/0d/50/5dec744aead450eb1f72c2f2a7944eb0.jpg
Homo Deus: Lược Sử Tương Lai,Yuval Noah Harari,189000,113400,19927.0,Lịch Sử Thế Giới,1486,4.6,512,,https://salt.tikicdn.com/ts/product/f6/c4/c1/37cc7da534a3a25e39e4b5e32bf5f6ba.jpg
